2015-03-29 17:05:48,663 DEBUG a!=4
2015-03-29 17:06:15,815 DEBUG a!=4
2015-03-29 17:12:26,538 DEBUG a!=4
2015-03-29 17:25:22,301 DEBUG a!=4
2015-03-29 17:28:05,722 DEBUG a!=4
2015-03-29 17:28:16,057 DEBUG a!=4
2015-03-29 17:28:59,297 DEBUG a!=4
2015-03-29 17:37:52,078 DEBUG a!=4
2015-03-29 17:37:59,401 DEBUG a!=4
2015-03-29 17:38:33,268 DEBUG a!=4
2015-03-29 17:40:50,593 DEBUG a!=4
2015-03-29 17:40:53,496 DEBUG a!=4
2015-03-29 17:41:02,256 DEBUG a!=4
2015-03-29 17:41:29,491 DEBUG a!=4
2015-03-29 17:41:36,587 DEBUG a!=4
